File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
lindau_000044_000019_gtFine_labelTrainIds.png,95.99,67.64,-28.35
lindau_000045_000019_gtFine_labelTrainIds.png,96.3,64.74,-31.56
lindau_000046_000019_gtFine_labelTrainIds.png,98.07,80.74,-17.33
lindau_000047_000019_gtFine_labelTrainIds.png,97.4,69.01,-28.4
lindau_000048_000019_gtFine_labelTrainIds.png,95.84,63.85,-31.98
lindau_000049_000019_gtFine_labelTrainIds.png,96.57,64.27,-32.3
lindau_000050_000019_gtFine_labelTrainIds.png,99.58,87.37,-12.2
lindau_000051_000019_gtFine_labelTrainIds.png,97.24,88.49,-8.75
lindau_000052_000019_gtFine_labelTrainIds.png,97.36,95.7,-1.66
lindau_000053_000019_gtFine_labelTrainIds.png,90.5,89.69,-0.81
lindau_000054_000019_gtFine_labelTrainIds.png,86.1,85.81,-0.29
lindau_000055_000019_gtFine_labelTrainIds.png,90.42,88.44,-1.98
lindau_000056_000019_gtFine_labelTrainIds.png,93.1,92.87,-0.23
lindau_000057_000019_gtFine_labelTrainIds.png,91.29,90.08,-1.21
lindau_000058_000019_gtFine_labelTrainIds.png,95.86,96.49,0.63
munster_000000_000019_gtFine_labelTrainIds.png,89.94,90.84,0.89
munster_000001_000019_gtFine_labelTrainIds.png,87.72,90.89,3.17
munster_000002_000019_gtFine_labelTrainIds.png,95.28,95.57,0.29
munster_000003_000019_gtFine_labelTrainIds.png,92.38,91.13,-1.25
munster_000004_000019_gtFine_labelTrainIds.png,88.95,91.85,2.91
munster_000005_000019_gtFine_labelTrainIds.png,94.89,93.74,-1.15
munster_000006_000019_gtFine_labelTrainIds.png,95.02,91.12,-3.91
munster_000007_000019_gtFine_labelTrainIds.png,93.56,91.41,-2.15
munster_000008_000019_gtFine_labelTrainIds.png,94.72,93.06,-1.66
munster_000009_000019_gtFine_labelTrainIds.png,94.4,90.93,-3.47
munster_000010_000019_gtFine_labelTrainIds.png,91.7,86.35,-5.35
munster_000011_000019_gtFine_labelTrainIds.png,93.7,92.79,-0.92
munster_000012_000019_gtFine_labelTrainIds.png,91.78,88.55,-3.22
munster_000013_000019_gtFine_labelTrainIds.png,92.61,88.36,-4.26
munster_000014_000019_gtFine_labelTrainIds.png,93.13,89.84,-3.29
munster_000015_000019_gtFine_labelTrainIds.png,94.51,93.54,-0.97
munster_000016_000019_gtFine_labelTrainIds.png,95.48,75.03,-20.45
munster_000017_000019_gtFine_labelTrainIds.png,96.97,75.69,-21.28
munster_000018_000019_gtFine_labelTrainIds.png,90.18,71.72,-18.46
munster_000019_000019_gtFine_labelTrainIds.png,94.76,91.2,-3.55
munster_000020_000019_gtFine_labelTrainIds.png,95.49,92.23,-3.26
munster_000021_000019_gtFine_labelTrainIds.png,90.8,85.32,-5.48
munster_000022_000019_gtFine_labelTrainIds.png,88.95,88.96,0.02
munster_000023_000019_gtFine_labelTrainIds.png,95.35,92.15,-3.2
munster_000024_000019_gtFine_labelTrainIds.png,93.7,92.46,-1.23
