File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU,MIoU Prediction 3,MIoU Prediction 4,Delta MIoU2
lindau_000013_000019_gtFine_labelTrainIds.png,91.35,92.5,1.15,92.79,91.5,-1.29
munster_000120_000019_gtFine_labelTrainIds.png,93.65,93.3,-0.35,95.75,94.44,-1.31
munster_000111_000019_gtFine_labelTrainIds.png,94.49,92.42,-2.08,96.14,94.82,-1.32
munster_000099_000019_gtFine_labelTrainIds.png,95.68,93.29,-2.39,96.92,95.59,-1.33
frankfurt_000001_043395_gtFine_labelTrainIds.png,94.07,90,-4.07,93.6,92.23,-1.36
munster_000081_000019_gtFine_labelTrainIds.png,93.36,90.12,-3.24,95.73,94.37,-1.36
frankfurt_000000_005543_gtFine_labelTrainIds.png,94.01,94.56,0.55,93.02,91.64,-1.38
frankfurt_000001_013016_gtFine_labelTrainIds.png,89.45,85.93,-3.52,89.91,88.53,-1.38
frankfurt_000001_075296_gtFine_labelTrainIds.png,92.75,88.09,-4.66,90.89,89.51,-1.38
frankfurt_000000_013067_gtFine_labelTrainIds.png,95.94,93.38,-2.56,93.49,92.1,-1.39
munster_000046_000019_gtFine_labelTrainIds.png,92.95,90.28,-2.67,94.44,93.05,-1.39
frankfurt_000001_051807_gtFine_labelTrainIds.png,93.88,88.97,-4.91,93.96,92.55,-1.41
frankfurt_000001_058914_gtFine_labelTrainIds.png,92.9,90.23,-2.67,92.77,91.36,-1.41
frankfurt_000001_009058_gtFine_labelTrainIds.png,95.54,89.61,-5.93,95.72,94.29,-1.43
frankfurt_000000_012868_gtFine_labelTrainIds.png,96.42,93.1,-3.31,92.93,91.49,-1.44
munster_000162_000019_gtFine_labelTrainIds.png,94.78,91.91,-2.87,95.75,94.31,-1.44
frankfurt_000001_005184_gtFine_labelTrainIds.png,95.01,91.18,-3.83,95.38,93.91,-1.46
frankfurt_000001_054640_gtFine_labelTrainIds.png,94.82,92.53,-2.28,92.7,91.23,-1.46
frankfurt_000001_049209_gtFine_labelTrainIds.png,95.8,93.3,-2.5,95.81,94.34,-1.48
frankfurt_000001_075984_gtFine_labelTrainIds.png,92.55,90.27,-2.28,91.02,89.51,-1.51
munster_000112_000019_gtFine_labelTrainIds.png,94.5,93.97,-0.53,96.51,94.97,-1.53
frankfurt_000001_038245_gtFine_labelTrainIds.png,96.02,91.11,-4.91,97.38,95.84,-1.55
frankfurt_000000_000576_gtFine_labelTrainIds.png,96.48,92.02,-4.46,94.62,93.07,-1.56
frankfurt_000001_014741_gtFine_labelTrainIds.png,92.15,88.52,-3.63,94.26,92.67,-1.58
frankfurt_000001_034047_gtFine_labelTrainIds.png,93.83,90.91,-2.92,93.35,91.76,-1.59
munster_000097_000019_gtFine_labelTrainIds.png,91.99,88.71,-3.29,95.34,93.73,-1.6
frankfurt_000001_042733_gtFine_labelTrainIds.png,95.36,91.9,-3.46,93.6,91.98,-1.62
frankfurt_000000_009291_gtFine_labelTrainIds.png,95.97,93.02,-2.95,96.05,94.42,-1.63
frankfurt_000000_012009_gtFine_labelTrainIds.png,94.67,90.71,-3.96,95.03,93.41,-1.63
frankfurt_000001_019969_gtFine_labelTrainIds.png,97,96.7,-0.3,93.6,91.95,-1.65
frankfurt_000001_054219_gtFine_labelTrainIds.png,94.7,89.43,-5.27,92.12,90.46,-1.67
frankfurt_000001_068682_gtFine_labelTrainIds.png,90.42,90.68,0.26,94.01,92.34,-1.67
frankfurt_000001_077434_gtFine_labelTrainIds.png,92.69,89.39,-3.3,92.15,90.48,-1.67
munster_000054_000019_gtFine_labelTrainIds.png,95.21,93.26,-1.95,95.77,94.09,-1.68
frankfurt_000001_015091_gtFine_labelTrainIds.png,93.82,88.39,-5.43,92.04,90.35,-1.69
munster_000031_000019_gtFine_labelTrainIds.png,94.31,92.99,-1.32,94.61,92.93,-1.69
frankfurt_000001_029236_gtFine_labelTrainIds.png,94.44,92.57,-1.87,93.2,91.5,-1.7
frankfurt_000001_038844_gtFine_labelTrainIds.png,92.97,89.29,-3.67,93.23,91.53,-1.7
munster_000071_000019_gtFine_labelTrainIds.png,91.4,90.3,-1.1,95.59,93.88,-1.7
frankfurt_000000_003025_gtFine_labelTrainIds.png,95.48,94.38,-1.1,96.3,94.59,-1.72
