File Name,MIoU Prediction 1,MIoU Prediction 2,Delta MIoU
darmstadt_000077_000019_gtFine_labelTrainIds.png,22.83,26.25,3.42
strasbourg_000001_004745_gtFine_labelTrainIds.png,31.45,34.87,3.42
strasbourg_000001_017675_gtFine_labelTrainIds.png,34.03,37.45,3.42
stuttgart_000023_000019_gtFine_labelTrainIds.png,21.49,24.91,3.42
stuttgart_000092_000019_gtFine_labelTrainIds.png,38.37,41.78,3.42
bremen_000010_000019_gtFine_labelTrainIds.png,44.8,48.21,3.41
stuttgart_000167_000019_gtFine_labelTrainIds.png,33.65,37.05,3.41
erfurt_000091_000019_gtFine_labelTrainIds.png,35.87,39.27,3.4
hamburg_000000_047157_gtFine_labelTrainIds.png,30.8,34.2,3.4
hanover_000000_028460_gtFine_labelTrainIds.png,28.14,31.54,3.4
weimar_000134_000019_gtFine_labelTrainIds.png,23.68,27.07,3.4
monchengladbach_000000_036139_gtFine_labelTrainIds.png,25.81,29.2,3.39
tubingen_000127_000019_gtFine_labelTrainIds.png,29.09,32.48,3.39
hamburg_000000_055894_gtFine_labelTrainIds.png,30.45,33.83,3.38
krefeld_000000_029050_gtFine_labelTrainIds.png,32.23,35.6,3.37
weimar_000055_000019_gtFine_labelTrainIds.png,33.29,36.66,3.37
hanover_000000_034720_gtFine_labelTrainIds.png,31.55,34.92,3.36
stuttgart_000009_000019_gtFine_labelTrainIds.png,32.78,36.12,3.35
tubingen_000109_000019_gtFine_labelTrainIds.png,58.31,61.66,3.35
ulm_000068_000019_gtFine_labelTrainIds.png,41.03,44.38,3.35
weimar_000051_000019_gtFine_labelTrainIds.png,26.96,30.31,3.35
weimar_000114_000019_gtFine_labelTrainIds.png,38.3,41.65,3.35
hamburg_000000_056508_gtFine_labelTrainIds.png,33.47,36.81,3.34
hamburg_000000_087822_gtFine_labelTrainIds.png,38.54,41.88,3.34
zurich_000087_000019_gtFine_labelTrainIds.png,41.76,45.1,3.34
dusseldorf_000079_000019_gtFine_labelTrainIds.png,37.79,41.12,3.33
jena_000097_000019_gtFine_labelTrainIds.png,36.55,39.87,3.33
tubingen_000108_000019_gtFine_labelTrainIds.png,42.87,46.2,3.33
darmstadt_000084_000019_gtFine_labelTrainIds.png,33.29,36.61,3.32
dusseldorf_000203_000019_gtFine_labelTrainIds.png,30.68,34.01,3.32
tubingen_000107_000019_gtFine_labelTrainIds.png,32.05,35.37,3.32
aachen_000126_000019_gtFine_labelTrainIds.png,32.7,36,3.3
bochum_000000_025833_gtFine_labelTrainIds.png,34.22,37.52,3.3
hamburg_000000_059339_gtFine_labelTrainIds.png,32.43,35.73,3.29
strasbourg_000001_015974_gtFine_labelTrainIds.png,33.13,36.41,3.29
weimar_000128_000019_gtFine_labelTrainIds.png,30.83,34.12,3.29
bremen_000204_000019_gtFine_labelTrainIds.png,28.26,31.54,3.28
hamburg_000000_008221_gtFine_labelTrainIds.png,20.91,24.19,3.28
hamburg_000000_016447_gtFine_labelTrainIds.png,32.86,36.14,3.28
hamburg_000000_029144_gtFine_labelTrainIds.png,25.36,28.64,3.28
zurich_000011_000019_gtFine_labelTrainIds.png,33.83,37.12,3.28
aachen_000156_000019_gtFine_labelTrainIds.png,21.25,24.52,3.27
weimar_000063_000019_gtFine_labelTrainIds.png,31.39,34.65,3.26
zurich_000004_000019_gtFine_labelTrainIds.png,25.42,28.69,3.26
aachen_000004_000019_gtFine_labelTrainIds.png,35.71,38.95,3.25
bremen_000184_000019_gtFine_labelTrainIds.png,36.09,39.34,3.25
dusseldorf_000080_000019_gtFine_labelTrainIds.png,35.54,38.79,3.25
hamburg_000000_029676_gtFine_labelTrainIds.png,35.88,39.13,3.25
hamburg_000000_036003_gtFine_labelTrainIds.png,37.48,40.73,3.25
hamburg_000000_046566_gtFine_labelTrainIds.png,27.68,30.93,3.25
hamburg_000000_094185_gtFine_labelTrainIds.png,39.93,43.18,3.25
zurich_000018_000019_gtFine_labelTrainIds.png,31.48,34.73,3.25
bremen_000172_000019_gtFine_labelTrainIds.png,32.01,35.25,3.24
darmstadt_000015_000019_gtFine_labelTrainIds.png,29.64,32.88,3.24
hamburg_000000_038511_gtFine_labelTrainIds.png,28.98,32.22,3.24
hanover_000000_051152_gtFine_labelTrainIds.png,38.69,41.93,3.24
jena_000075_000019_gtFine_labelTrainIds.png,32.55,35.78,3.24
weimar_000021_000019_gtFine_labelTrainIds.png,24.79,28.03,3.24
erfurt_000026_000019_gtFine_labelTrainIds.png,33.74,36.97,3.23
jena_000031_000019_gtFine_labelTrainIds.png,32.92,36.15,3.23
monchengladbach_000000_010860_gtFine_labelTrainIds.png,27.72,30.95,3.23
zurich_000001_000019_gtFine_labelTrainIds.png,38.76,41.99,3.23
hamburg_000000_061048_gtFine_labelTrainIds.png,36.66,39.88,3.22
bremen_000076_000019_gtFine_labelTrainIds.png,40.89,44.1,3.21
hamburg_000000_102379_gtFine_labelTrainIds.png,34.93,38.14,3.21
stuttgart_000028_000019_gtFine_labelTrainIds.png,30.34,33.55,3.21
dusseldorf_000005_000019_gtFine_labelTrainIds.png,39.84,43.04,3.2
ulm_000011_000019_gtFine_labelTrainIds.png,26.88,30.09,3.2
bochum_000000_024855_gtFine_labelTrainIds.png,31.2,34.39,3.19
hamburg_000000_096624_gtFine_labelTrainIds.png,28,31.19,3.19
hanover_000000_002458_gtFine_labelTrainIds.png,36.51,39.71,3.19
weimar_000133_000019_gtFine_labelTrainIds.png,38.1,41.28,3.19
erfurt_000004_000019_gtFine_labelTrainIds.png,32.88,36.06,3.18
erfurt_000032_000019_gtFine_labelTrainIds.png,36.76,39.94,3.18
erfurt_000076_000019_gtFine_labelTrainIds.png,27.81,30.99,3.18
hamburg_000000_080674_gtFine_labelTrainIds.png,29.4,32.58,3.18
hanover_000000_034935_gtFine_labelTrainIds.png,30.24,33.41,3.18
strasbourg_000001_034375_gtFine_labelTrainIds.png,27.66,30.85,3.18
tubingen_000022_000019_gtFine_labelTrainIds.png,35.2,38.38,3.18
hamburg_000000_046619_gtFine_labelTrainIds.png,34.51,37.68,3.17
monchengladbach_000000_031360_gtFine_labelTrainIds.png,27.03,30.2,3.17
strasbourg_000000_015506_gtFine_labelTrainIds.png,38.38,41.54,3.16
stuttgart_000169_000019_gtFine_labelTrainIds.png,31.03,34.19,3.16
ulm_000080_000019_gtFine_labelTrainIds.png,25.34,28.5,3.16
weimar_000111_000019_gtFine_labelTrainIds.png,39.06,42.21,3.16
aachen_000134_000019_gtFine_labelTrainIds.png,22.25,25.4,3.15
hamburg_000000_027304_gtFine_labelTrainIds.png,36.27,39.42,3.15
erfurt_000106_000019_gtFine_labelTrainIds.png,25.52,28.66,3.14
hamburg_000000_039264_gtFine_labelTrainIds.png,38.23,41.37,3.14
tubingen_000098_000019_gtFine_labelTrainIds.png,38.31,41.45,3.14
tubingen_000102_000019_gtFine_labelTrainIds.png,30.29,33.43,3.14
cologne_000077_000019_gtFine_labelTrainIds.png,25.74,28.87,3.13
tubingen_000114_000019_gtFine_labelTrainIds.png,30.25,33.38,3.13
ulm_000052_000019_gtFine_labelTrainIds.png,31.72,34.85,3.13
aachen_000105_000019_gtFine_labelTrainIds.png,33.35,36.46,3.11
darmstadt_000056_000019_gtFine_labelTrainIds.png,35.7,38.81,3.11
tubingen_000131_000019_gtFine_labelTrainIds.png,35.15,38.26,3.11
weimar_000108_000019_gtFine_labelTrainIds.png,33.56,36.67,3.11
hamburg_000000_031971_gtFine_labelTrainIds.png,29.68,32.76,3.09
hanover_000000_014713_gtFine_labelTrainIds.png,29.45,32.54,3.09
tubingen_000123_000019_gtFine_labelTrainIds.png,27.73,30.82,3.09
bremen_000194_000019_gtFine_labelTrainIds.png,28.59,31.67,3.08
aachen_000002_000019_gtFine_labelTrainIds.png,31.29,34.35,3.07
aachen_000044_000019_gtFine_labelTrainIds.png,28.24,31.31,3.07
bremen_000233_000019_gtFine_labelTrainIds.png,35.23,38.31,3.07
hamburg_000000_078842_gtFine_labelTrainIds.png,24.64,27.71,3.07
strasbourg_000000_025089_gtFine_labelTrainIds.png,34.65,37.71,3.07
weimar_000135_000019_gtFine_labelTrainIds.png,31.25,34.31,3.07
strasbourg_000000_016311_gtFine_labelTrainIds.png,30.1,33.16,3.06
zurich_000110_000019_gtFine_labelTrainIds.png,24.77,27.83,3.06
strasbourg_000001_055273_gtFine_labelTrainIds.png,33.81,36.86,3.05
dusseldorf_000218_000019_gtFine_labelTrainIds.png,26.8,29.85,3.04
hamburg_000000_053563_gtFine_labelTrainIds.png,25.38,28.42,3.04
strasbourg_000000_022489_gtFine_labelTrainIds.png,24.37,27.41,3.04
strasbourg_000001_019698_gtFine_labelTrainIds.png,32.31,35.35,3.04
dusseldorf_000117_000019_gtFine_labelTrainIds.png,34.02,37.05,3.03
hamburg_000000_037161_gtFine_labelTrainIds.png,34.15,37.18,3.03
jena_000098_000019_gtFine_labelTrainIds.png,22.53,25.55,3.03
krefeld_000000_012353_gtFine_labelTrainIds.png,30.49,33.52,3.03
strasbourg_000000_029179_gtFine_labelTrainIds.png,28.99,32.02,3.03
tubingen_000074_000019_gtFine_labelTrainIds.png,39.23,42.26,3.03
darmstadt_000025_000019_gtFine_labelTrainIds.png,34.68,37.7,3.02
monchengladbach_000000_021104_gtFine_labelTrainIds.png,26.32,29.35,3.02
weimar_000077_000019_gtFine_labelTrainIds.png,31.88,34.9,3.02
bremen_000078_000019_gtFine_labelTrainIds.png,34.94,37.94,3.01
hamburg_000000_070334_gtFine_labelTrainIds.png,33.11,36.12,3.01
ulm_000006_000019_gtFine_labelTrainIds.png,39.42,42.43,3.01
weimar_000083_000019_gtFine_labelTrainIds.png,23.66,26.67,3.01
darmstadt_000055_000019_gtFine_labelTrainIds.png,29.94,32.95,3
dusseldorf_000135_000019_gtFine_labelTrainIds.png,24.65,27.65,3
hamburg_000000_014030_gtFine_labelTrainIds.png,28.62,31.62,3
hamburg_000000_099902_gtFine_labelTrainIds.png,28.43,31.43,3
monchengladbach_000000_028883_gtFine_labelTrainIds.png,31.03,34.02,3
bremen_000139_000019_gtFine_labelTrainIds.png,36.1,39.09,2.99
dusseldorf_000179_000019_gtFine_labelTrainIds.png,34.38,37.37,2.99
hanover_000000_030546_gtFine_labelTrainIds.png,37.04,40.02,2.99
monchengladbach_000000_015685_gtFine_labelTrainIds.png,32.94,35.93,2.99
strasbourg_000001_062542_gtFine_labelTrainIds.png,29.68,32.67,2.99
ulm_000034_000019_gtFine_labelTrainIds.png,22.5,25.49,2.99
erfurt_000034_000019_gtFine_labelTrainIds.png,35.39,38.38,2.98
jena_000050_000019_gtFine_labelTrainIds.png,34.36,37.34,2.98
strasbourg_000001_061285_gtFine_labelTrainIds.png,35.91,38.9,2.98
stuttgart_000170_000019_gtFine_labelTrainIds.png,31.88,34.86,2.98
weimar_000057_000019_gtFine_labelTrainIds.png,33.56,36.54,2.98
hamburg_000000_087216_gtFine_labelTrainIds.png,32.54,35.51,2.97
hanover_000000_055124_gtFine_labelTrainIds.png,31.41,34.38,2.97
aachen_000073_000019_gtFine_labelTrainIds.png,37.8,40.76,2.96
tubingen_000110_000019_gtFine_labelTrainIds.png,31.72,34.68,2.96
aachen_000064_000019_gtFine_labelTrainIds.png,43.41,46.36,2.95
darmstadt_000049_000019_gtFine_labelTrainIds.png,27.02,29.98,2.95
strasbourg_000001_060061_gtFine_labelTrainIds.png,32.26,35.21,2.95
zurich_000005_000019_gtFine_labelTrainIds.png,37.18,40.13,2.95
aachen_000149_000019_gtFine_labelTrainIds.png,31.39,34.32,2.94
dusseldorf_000123_000019_gtFine_labelTrainIds.png,31.97,34.92,2.94
jena_000101_000019_gtFine_labelTrainIds.png,41.2,44.13,2.94
strasbourg_000001_032315_gtFine_labelTrainIds.png,20.85,23.79,2.94
krefeld_000000_035124_gtFine_labelTrainIds.png,29.77,32.7,2.93
strasbourg_000001_043080_gtFine_labelTrainIds.png,26.24,29.17,2.93
stuttgart_000186_000019_gtFine_labelTrainIds.png,29.66,32.6,2.93
ulm_000000_000019_gtFine_labelTrainIds.png,36.69,39.62,2.93
bremen_000129_000019_gtFine_labelTrainIds.png,25.06,27.98,2.92
hamburg_000000_019760_gtFine_labelTrainIds.png,30.49,33.42,2.92
hanover_000000_027561_gtFine_labelTrainIds.png,31.2,34.11,2.92
strasbourg_000001_043886_gtFine_labelTrainIds.png,27.15,30.06,2.92
