Image Name,mIoU,Class 0 IoU,Class 1 IoU,Class 2 IoU,Class 3 IoU,Class 4 IoU,Class 5 IoU,Class 6 IoU,Class 7 IoU,Class 8 IoU,Class 9 IoU,Class 10 IoU,Class 11 IoU,Class 12 IoU,Class 13 IoU,Class 14 IoU,Class 15 IoU,Class 16 IoU,Class 17 IoU,Class 18 IoU
aachen_000081_000019,0.3195,0.7786,0.5344,0.83,0,0,0.0061,0.3797,0.5897,0.8718,0.5632,0,0.5794,0,0.9367,0,0,0,0,0
aachen_000082_000019,0.2542,0.8995,0.889,0.9509,0,0,0.0625,0,0.3805,0.7082,0,0,0.7252,0,0.2141,0,0,0,0,0
aachen_000083_000019,0.2728,0.7313,0.4641,0.8609,0,0,0.0215,0,0,0.9252,0.4277,0.6793,0.2086,0,0.8645,0,0,0,0,0
aachen_000084_000019,0.3278,0.691,0.2674,0.6722,0,0,0.2784,0.433,0.4413,0.8314,0.4364,0.5363,0.7166,0,0.9236,0,0,0,0,0
aachen_000085_000019,0.3595,0.859,0.5257,0.9153,0,0,0.3511,0,0.4721,0.541,0.5266,0.9136,0.2786,0,0.9141,0,0,0,0,0.5342
aachen_000086_000019,0.4026,0.8688,0.632,0.8685,0,0,0.494,0,0.567,0.8718,0.5003,0.8409,0.5688,0,0.8568,0,0,0,0.5756,0.0043
aachen_000087_000019,0.3828,0.8969,0.5612,0.8966,0,0,0.1362,0.3748,0.6982,0.822,0.0323,0.8907,0.732,0,0.6918,0,0,0,0,0.5412
aachen_000088_000019,0.3251,0.8259,0.8093,0.8473,0,0,0.3778,0,0.317,0.8605,0,0.6873,0.0522,0,0.9166,0,0,0,0,0.483
aachen_000089_000019,0.3272,0.7187,0.0034,0.8683,0,0,0.0446,0,0.417,0.9021,0,0.7675,0.4338,0,0.9572,0,0,0,0.6446,0.4603
aachen_000090_000019,0.2648,0.5664,0.4582,0.805,0,0,0.548,0,0.6702,0.7901,0,0,0.8025,0,0,0,0,0,0,0.3917
aachen_000091_000019,0.2732,0.7332,0.0418,0.9252,0,0,0,0,0,0.9234,0,0.7943,0.8186,0,0.9539,0,0,0,0,0
aachen_000092_000019,0.3492,0.8525,0.236,0.8168,0,0,0.2643,0.4667,0.1876,0.9041,0.3164,0.9006,0.3483,0,0.9001,0,0,0,0,0.441
aachen_000093_000019,0.3192,0.8704,0.8246,0.8472,0,0,0.3366,0,0.4092,0.7552,0.3722,0.6699,0.8913,0,0,0,0,0,0,0.0877
aachen_000094_000019,0.3055,0.5232,0,0.9196,0,0,0.5195,0,0.7889,0.5615,0,0.892,0.7448,0,0.8553,0,0,0,0,0
aachen_000095_000019,0.2808,0.7053,0.581,0.9052,0,0,0.1918,0,0,0.5181,0,0.8778,0.6156,0,0.9395,0,0,0,0,0
aachen_000096_000019,0.229,0.5923,0.0043,0.5891,0.3784,0.3809,0.3241,0,0,0.558,0,0.5898,0,0,0.934,0,0,0,0,0
aachen_000097_000019,0.2958,0.8915,0.539,0.8658,0,0.0244,0.1819,0,0.3227,0.6915,0,0.8382,0.7694,0,0.0907,0,0,0,0,0.4044
aachen_000098_000019,0.2781,0.852,0.8755,0.9284,0,0,0.4092,0,0.1787,0.4221,0,0,0.7786,0,0.8393,0,0,0,0,0
aachen_000099_000019,0.3543,0.7801,0.7981,0.8639,0,0,0.3105,0.0457,0.3199,0.8419,0,0.867,0.4846,0,0.9299,0,0,0,0,0.4901
aachen_000100_000019,0.3137,0.8852,0.7161,0.918,0,0,0.4242,0,0.603,0.8322,0,0,0.6314,0,0.9504,0,0,0,0,0
aachen_000101_000019,0.3935,0.8895,0.6213,0.8764,0,0,0.5137,0.4454,0.212,0.7494,0,0.8228,0.3496,0,0.5674,0,0,0,0.7103,0.7194
aachen_000102_000019,0.336,0.7717,0.7883,0.9546,0,0,0.3997,0,0.4737,0.7877,0,0.932,0.3624,0,0.9148,0,0,0,0,0
aachen_000103_000019,0.3803,0.9096,0.385,0.8774,0,0,0.2757,0.003,0.4615,0.852,0,0.8276,0.5337,0,0.9069,0,0.9071,0,0,0.287
aachen_000104_000019,0.3182,0.8496,0.7798,0.9101,0,0,0.319,0.1593,0.3495,0.8503,0,0.8776,0,0,0.9514,0,0,0,0,0
aachen_000105_000019,0.3805,0.8941,0.7601,0.8614,0,0,0.4648,0.6532,0.4647,0.7856,0.543,0,0.3932,0,0.8676,0,0,0,0,0.542
aachen_000106_000019,0.352,0.8975,0.0068,0.8117,0,0,0.1658,0,0.221,0.891,0.2877,0.832,0.2126,0,0.8378,0,0.9615,0,0,0.5619
aachen_000107_000019,0.4092,0.8106,0.6907,0.8113,0,0,0.4353,0,0.6263,0.8903,0.6464,0.5966,0.6688,0,0.8004,0,0,0,0,0.7972
aachen_000108_000019,0.3153,0.6948,0.5714,0.9023,0,0,0.0209,0,0.2537,0.8602,0,0.8955,0.597,0,0.9484,0,0,0,0,0.2462
aachen_000109_000019,0.2585,0.2113,0.0041,0.6316,0,0,0.5596,0,0.5748,0.8886,0,0,0.6285,0,0,0,0,0,0.5818,0.8316
aachen_000110_000019,0.3513,0.7549,0.9059,0.8036,0,0,0.2619,0,0.464,0.9189,0.3903,0.7623,0.4308,0,0.9055,0,0,0,0.077,0
aachen_000111_000019,0.3259,0.8048,0.2165,0.7993,0,0,0.3532,0.2542,0.4993,0.8596,0,0.83,0.7421,0,0.8326,0,0,0,0,0
aachen_000112_000019,0.294,0.8407,0.9301,0.9472,0,0,0.3082,0,0.2825,0,0,0.9407,0.3934,0,0.9428,0,0,0,0,0
aachen_000113_000019,0.318,0.861,0.9066,0.9477,0,0,0.4001,0,0.5912,0.8025,0,0,0.7603,0,0.7718,0,0,0,0,0
aachen_000114_000019,0.2722,0.7301,0.4945,0.9374,0,0,0.6086,0,0,0.4292,0.1277,0,0.9307,0,0.8186,0,0,0,0,0.0946
aachen_000115_000019,0.3596,0.8863,0.8273,0.7611,0,0,0.555,0.6584,0.5609,0.9147,0.3572,0,0.3583,0,0.9528,0,0,0,0,0
aachen_000116_000019,0.3284,0.8634,0.6852,0.9437,0,0,0.376,0.2351,0.6394,0.822,0,0,0.8712,0,0.804,0,0,0,0,0
aachen_000117_000019,0.4265,0.8976,0.7923,0.7128,0,0,0.1747,0.3983,0.5574,0.8874,0.175,0.9199,0.546,0,0.7069,0,0.9224,0,0,0.4125
aachen_000118_000019,0.3896,0.8127,0.6419,0.7465,0,0,0.562,0.7637,0.6716,0.8944,0.4666,0.8404,0.7574,0,0.2446,0,0,0,0,0
aachen_000119_000019,0.4309,0.8944,0.5388,0.8367,0,0,0.2051,0.5912,0.355,0.9185,0.2058,0.9163,0.6601,0.6821,0.8917,0,0,0,0,0.4911
aachen_000120_000019,0.2853,0.8774,0.1408,0.7513,0,0,0.3464,0,0.0286,0.8679,0,0.8165,0.7351,0,0.8575,0,0,0,0,0
aachen_000121_000019,0.3511,0.8924,0.7285,0.8978,0,0,0.1648,0.1781,0.1759,0.8611,0.4448,0.8425,0.7036,0,0.7819,0,0,0,0,0
aachen_000122_000019,0.3269,0.8219,0.4338,0.8732,0,0,0.0211,0.405,0.0457,0.8873,0.6106,0.8151,0.3617,0,0.9351,0,0,0,0,0
aachen_000123_000019,0.3164,0.884,0.9142,0.938,0,0,0,0,0.728,0.7613,0,0.8514,0,0,0.9354,0,0,0,0,0
aachen_000124_000019,0.2711,0.9037,0.4101,0.9376,0,0,0.0195,0,0,0.7882,0.3395,0.8774,0,0,0.8748,0,0,0,0,0
aachen_000125_000019,0.3348,0.9055,0.0877,0.9371,0,0,0.3379,0.3975,0.5308,0.7531,0,0.8821,0.5974,0,0.9315,0,0,0,0,0
aachen_000126_000019,0.3751,0.9149,0.6319,0.934,0,0,0.3807,0.5019,0.4541,0.8725,0.0213,0.5891,0.6357,0,0.6321,0,0,0,0,0.5591
aachen_000127_000019,0.3349,0.7788,0.8288,0.8642,0,0,0.2341,0.5152,0.1096,0.682,0,0.8199,0.6869,0,0.8441,0,0,0,0,0
aachen_000128_000019,0.2976,0.831,0.7163,0.9124,0,0,0.2318,0.0234,0,0.7487,0.0397,0.802,0.7582,0,0.5915,0,0,0,0,0
aachen_000129_000019,0.3422,0.7964,0.831,0.8828,0,0,0.3606,0,0.3706,0.9023,0.5474,0,0.9048,0,0.9058,0,0,0,0,0
aachen_000130_000019,0.2467,0.6535,0.5385,0.6987,0.0069,0,0.1332,0,0,0.8628,0.2011,0.6467,0,0,0.9466,0,0,0,0,0
aachen_000131_000019,0.3539,0.8816,0.031,0.926,0,0,0.1271,0.3593,0.6014,0.91,0.7181,0.8352,0.4275,0,0.9069,0,0,0,0,0
aachen_000132_000019,0.3945,0.8852,0.4991,0.6314,0,0,0.4461,0.5025,0.5237,0.8899,0.5626,0.8966,0.7486,0,0.9096,0,0,0,0,0
aachen_000133_000019,0.4119,0.8755,0.5691,0.9136,0.6177,0.5225,0.5009,0.5807,0.3283,0.7903,0.3905,0.7898,0.0174,0,0.93,0,0,0,0,0
aachen_000134_000019,0.2667,0.8394,0,0.9544,0,0,0.0948,0,0.554,0.9139,0,0.7634,0,0,0.9473,0,0,0,0,0
aachen_000135_000019,0.3242,0.8625,0.7575,0.7568,0.3599,0.1606,0.6454,0,0.1134,0.9209,0,0.651,0,0,0.931,0,0,0,0,0
aachen_000136_000019,0.2659,0.7386,0,0.9152,0,0,0,0,0,0.9226,0.2711,0.7754,0.4796,0,0.9501,0,0,0,0,0
aachen_000137_000019,0.3693,0.7723,0.299,0.7893,0.2944,0.6326,0.057,0,0,0.9213,0.3,0.8325,0.3106,0,0.8959,0,0,0,0.8948,0.0178
aachen_000138_000019,0.4283,0.8684,0.7006,0.9062,0,0,0.5449,0.3051,0.5621,0.9028,0.0181,0.702,0.7056,0.6523,0.9245,0,0,0,0,0.3446
aachen_000139_000019,0.4178,0.9407,0.4786,0.8794,0,0.1318,0.5457,0.4517,0.4706,0.8688,0.4955,0,0.5792,0.6517,0.8556,0,0,0,0,0.5889
